loan_id,text,need_label_llm
219980,"rosalvina is 52-years-old and has two children who are now adults.  she is a member of the group “l. nueva luz” (the new light) which is mad. up of 8 hard-working residents of the “zona del señor d. los milagros,” or the zone of our lord of miracles in the comas district.  her fellow group members elected her to be be president of the board of directors of the group.\r\n\r\nfifteen years ago, she began working as a seamstress in various businesses.  she began making all kinds of curtains and blouses, especially for girls.  with her work she has been able to buy her tools and help support the household expenses.  she would very much like to become more independent and have her own shop in her house.  \r\n\r\nthe loan she is requesting will be invested in part in the purchase of materials in order to be able to advance her goal of having a small sewing shop in her house.  the other part will be used for the purchase of cloth for making towels for drying.<br /><p><strong>translated from spanish by anna ruby waxham blackwell, kiva volunteer</strong></p>",High Need
573987,"ana is 41 years old, she has a partner and two daughters who are 4 and 10 years old. she learned her butchering skills because she she needed to earn money for her family, since her partner's income as a day laborer were not enough to cover household expenses. since her partner got at least one day off of work, they took advantage of this day and dedicated it to developing butchering skills. she has been doing this every 15 days and thanks to god she has been able to generate additional income for her family. \r\n\r\nthey buy animals to butcher from their local community, most of the time from local producers and other times she goes to the livestock plazas in the city, but this costs her extra money because she has to pay for transportation so that she can get the animals back to her house. \r\n\r\nthe loan she is asking for from fundacion campo is to pay the balance with another institution and the rest she will use to purchase livestock for her butcher shop because a good opportunity has presented itself to her. many of her customers are asking her for her cuts of meat and other cuts that she doesn't have as often because it is difficult to purchase a cow because it is much more expensive than a pig. \r\n\r\nwith this investment, her business will grow, and there will surely be more work but by making smart purchases she will be able to earn higher profits and to generate a higher income that will help her to guarantee economic stability for her family. it will also guarantee the satisfaction and retention of her customers and that she is able to live in a different way.  today, their current income doesn't allow them to purchase even enough of the basic necessities for herself and her two daughters and her older daughter is going to school now and has school costs, and the younger daughter will also have school costs soon and they want her to go to school. \r\n\r\nin the future, they hope that their business continues to improve and they can do it more than every 15 days, but rather, once a week so that their daughters can study and continue to get ahead in life and to have a professional career, as well as make improvements to her house because they would like a house made of brick but currently it is made of laminate. \r\n\r\n\r\n",High Need
778446,"as a married parent of six children, elsa works hard to support her family.\r\n\r\nshe has a bakery business in the philippines, and also earns additional income from a general store. elsa is borrowing php 30,000 through nwtf to  purchase flour, yeast, margarine, butter, sugar, etc. for her bakery business.\r\n\r\nelsa has been sustaining her business activities through her past 25 loans from nwtf. she hopes that her hard work will help her attain her dream to save enough to provide a secure future for her family.\r\n",Low Need
560887,"lovincer's group is comprised of three hard-working women. lovincer is 17 years old and lives in the town of kalisizo in the masaka region of uganda. for the past two years, lovincer has been working hard to manage her fresh food business. \r\n\r\nto help expand her business, lovincer has requested a loan of 500,000 ugandan shillings from brac uganda. the loan will be used to buy more raw fresh food such as raw bananas to sell, and will help lovincer to generate greater profits and take care of her young sisters and her mother. lovincer hopes that in the future she will be able to own a retail shop. \r\n\r\nlovincer is a member of brac's empowerment and livelihood for adolescents (ela) program. in addition to microfinance loans, the program provides both a safe place for young ugandan women to take part in group activities, and a forum for life-skills training.\r\n\r\n\r\n\r\n",High Need
1316111,"bernadith lives a simple life in albuera, leyte. she is 46 years old, married, and has a six-year-old child. she and her husband support their family through a buying and selling business. they have been in this business for six years. thus, they work hard to obtain an income for the family.<br /><br />bernadith wants to have a good and safe toilet facility. so she is asking for a loan through kiva's field partner cevi, which offers financial assistance for safe water and good sanitation. with this loan, she will buy materials for building such as hollow blocks, cement, sand, gravel, deformed bar, coco lumber, tie wire, pvc elbow, pvc tee, adhesive, floor drain and door accessories.<br /><br />with the help of this loan, bernadith and her family will have a comfortable toilet facility for their living.",Low Need
1431961,"gemma is a 38-year-old farmer from barangay san fernando, laur, nueva ecija. she is happily married to mr. renato and blessed with five children who are still pursuing their studies. she engaged in the farming industry where she plants rice grains for almost four years. they deliver it to rice dealers around their town.<br /><br />she is a good client of alalay sa kaunlaran (aski), inc. for about two years.  she has been granted a loan of php 30,000 under the agri-loan program of aski. her loan will be used to buy different vegetable seeds to plant and fertilizer for the easy growth of their crops. she believes that with the help of aski, she will have a hectare of land.",High Need
136188,"la señora  irma es socia del  banco comunal “nueva flor”  que esta ubicado en el distrito de ilave, provincia de el collao, departamento de puno, ella tiene 30 años de edad, estado civil casada y no tiene hijos, irma estudio secundaria completa, vive en el centro poblado de rosa cami.\n\nla señora trabaja con el movimiento manuela ramos hace varios años es socia fundadora, su préstamo inicial fue de s/. 300.00 nuevos soles, la señora  se dedica a la venta de ganado menor, en la ferias semanales de la zona.\n\nen este momento ella solicito un préstamo de s/. 500.00 nuevos soles, este dinero lo invertirá en la compra de ganado menor para engorde.\n\nsu mayor deseo continuar trabajando y así poder ampliar su negocio.\n\na ella le gustan los ahorros y las charlas.\n",Low Need
1269450,"everline, pictured above, is a group leader and is representing her group, formed by 12 farmers in matete district, kenya. <br /><br />she joined one acre fund for the first time in 2010 and decided to represent her group because she wanted to help more farmers. she is married and has four children.<br /><br />with a portion of this loan, everline will not only purchase maize seeds and fertilizer for the coming harvesting season, but also a solar light. receiving a solar light as part of her loan means that now she will be able to have light during the night and have somewhere to charge her phone. <br /><br />everline plans to use the profits she gains this year to send her children to school.<br /><br />in total everline’s group will use the inputs received from this loan to plant a total of 4.25 acres of land. they will also receive a total of nine solar lights.",High Need
1198176,"mercideta is 60 years old and married with two children.  she works very hard to provide for them.<br /><br />mercideta runs a general store in the philippines and requested a 10,000 php loan through nwtf to buy items to sell like canned goods, personal care products, noodles, drinks, spices, shampoo, and other snack foods.  she has been in this business for five years. <br /><br />in the future, mercideta would like to save money to expand her business.",Low Need
254644,"rosa is a hardworking mother and an upstanding woman, who lives in her own home along with her son franco, who is 11 years old.  rosa has a business selling shoes, and on the weekends she sells creole food from the door of her house.  both of these businesses are doing very well.  but the most important business for her is the shoe selling business; it is profitable, since she has many customers who always order her merchandise.  for this reason, she is constantly going to the wholesale market in the center of lima, where she can find a variety of shoes at affordable prices.  in the future she wants to acquire a stall in a market where she can sell her shoes, to improve her quality of life.  this is her 16th loan with mfp and she is committed to making all of her payments on time so she can avoid future problems with her communal bank, where she is well respected.  with the loan she requests she will buy a greater quantity of shoes with the goal of increasing her inventory and, in this way, having a greater variety of shoes to offer her customers. \r\n\r\n",Low Need
